is_pluie,is_weekend,is_ferie,mois,k_moyen,jour,population,meteo_temp_min,meteo_temp_moy,jour_semaine_num,q_moyen,trimestre,meteo_temp_max,semaine_annee,meteo_precipitations,trafic_eleve,annee,ratio_saturation,saison_ete,saison_hiver,saison_printemps,jour_semaine_Monday,jour_semaine_Saturday,jour_semaine_Sunday,jour_semaine_Thursday,jour_semaine_Tuesday,jour_semaine_Wednesday
0,0,0,10,3.96222,18,179566,12.7,14.1,4,309.4791666666667,4,15.3,42,0.2,0,2024,0.012355507797346572,0,0,0,0,0,0,0,0,0
0,0,0,10,4.06334,18,179566,12.7,14.1,4,229.80357142857144,4,15.3,42,0.2,0,2024,0.017605186847195357,0,0,0,0,0,0,0,0,0
0,0,0,10,4.06334,18,179566,12.7,14.1,4,229.80357142857144,4,15.3,42,0.2,0,2024,0.017605186847195357,0,0,0,0,0,0,0,0,0
0,0,0,10,3.96222,18,183839,12.7,14.1,4,309.4791666666667,4,15.3,42,0.2,0,2024,0.012355507797346572,0,0,0,0,0,0,0,0,0
0,0,0,10,3.96222,18,183839,12.7,14.1,4,309.4791666666667,4,15.3,42,0.2,0,2024,0.012355507797346572,0,0,0,0,0,0,0,0,0
0,0,0,10,11.36202880952381,18,160526,12.7,14.1,4,515.8869047619048,4,15.3,42,0.2,1,2024,0.021981653442656932,0,0,0,0,0,0,0,0,0
0,0,0,10,11.36202880952381,18,160526,12.7,14.1,4,515.8869047619048,4,15.3,42,0.2,1,2024,0.021981653442656932,0,0,0,0,0,0,0,0,0
0,0,0,10,11.36202880952381,18,160526,12.7,14.1,4,515.8869047619048,4,15.3,42,0.2,1,2024,0.021981653442656932,0,0,0,0,0,0,0,0,0
0,0,0,10,1.010398273809524,18,161450,12.7,14.1,4,249.5059523809524,4,15.3,42,0.2,0,2024,0.004033430200784128,0,0,0,0,0,0,0,0,0
0,0,0,10,1.010398273809524,18,161450,12.7,14.1,4,249.5059523809524,4,15.3,42,0.2,0,2024,0.004033430200784128,0,0,0,0,0,0,0,0,0
1,0,0,10,4.06334,17,231476,16.3,16.8,3,221.0952380952381,4,19.1,42,47.1,0,2024,0.018295484562607205,0,0,0,0,0,0,1,0,0
1,0,0,10,4.06334,17,231476,16.3,16.8,3,221.0952380952381,4,19.1,42,47.1,0,2024,0.018295484562607205,0,0,0,0,0,0,1,0,0
0,0,0,10,2.1294876785714285,18,84310,12.7,14.1,4,149.70833333333334,4,15.3,42,0.2,0,2024,0.0141298601840515,0,0,0,0,0,0,0,0,0
